id,pos,gloss,persian_gloss,checked
73359,noun,mail that is sent by land or sea,نامه ای که از طریق زمین یا دریا ارسال می شود,1
73360,noun,mail that is registered by the post office when sent in order to assure safe delivery,نامه ای که برای اطمینان از تحویل سالم توسط اداره پست ثبت می شود,1
73356,noun,mail consisting of large numbers of identical items (circulars or advertisements) sent to individual addresses at less than 1st-class rates and paid for in one lot,نامه متشکل از تعداد زیادی از موارد یکسان (بخشنامه ها یا تبلیغات) با کمتر از نرخ کلاس 1 به آدرس های فردی ارسال می شود و در یک قسمت پرداخت می شود,1
73361,noun,mail that is delivered by a special carrier (for an additional charge),نامه ای که توسط شرکت حمل و نقل ویژه تحویل داده می شود (با هزینه اضافی),1
73363,noun,"mail sent to public figures from their admirers; ""he hired someone to answer his fan mail""","نامه هایی که از طرفدارانشان برای شخصیت های عمومی ارسال می شود.""او کسی را استخدام کرد تا به نامه طرفداران خود پاسخ دهد""",1
73362,noun,"any mail that is physically delivered by the postal service; ""email is much faster than snail mail""","هر نامه ای که به صورت فیزیکی توسط سرویس پستی تحویل داده می شود ؛""ایمیل بسیار سریعتر از نامه حلزون است""",1
73366,noun,a purchase negotiated by mail,خریدی که از طریق پست با شما مذاکره می شود,1
73364,noun,mail that expresses the writer's dislike or hatred (usually in offensive language),نامه ای که بیانگر بیزاری یا نفرت نویسنده باشد (معمولاً به زبان توهین آمیز),1
73365,noun,"mail sent by a sender at one time; ""the candidate sent out three large mailings""","نامه ارسال شده توسط یک فرستنده در یک زمان""کاندیدا سه نامه بزرگ ارسال کرد""",1
73367,noun,pouch used in the shipment of mail,کیسه ای که در حمل و نقل پست استفاده می شود,1
73369,noun,public box for deposit of mail,جعبه عمومی برای واریز پست,1
73370,noun,a mailer for airmail,فرستنده پست الکترونیکی,1
73372,noun,a main that distributes gas,اصلی که گاز را توزیع می کند,1
73371,noun,tights for dancers or gymnasts,جوراب شلواری برای رقصندگان یا ژیمناست ها,1
73368,noun,a mail pouch that is sealed shut and that is used to carry communications between a legation and its home office,کیسه نامه ای که بسته می شود و برای حمل و نقل بین یک هیئت مدیره و دفتر خانه آن استفاده می شود,1
73373,noun,a main in a sewage system,اصلی در سیستم فاضلاب,1
73374,noun,main (a pipe or conduit) for conveying water,اصلی (لوله یا مجرای) برای انتقال آب,1
73375,noun,yard for a square mainsail,حیاط برای یک میدان اصلی مربع,1
73379,noun,a square mainsail,یک میدان اصلی مربع شکل,1
73378,noun,the chief mast of a sailing vessel with two or more masts,دکل اصلی یک کشتی قایقرانی با دو یا چند دکل,1
73377,noun,a mainframe computer that is one of the most powerful available at a given time,یک کامپیوتر اصلی که یکی از قدرتمندترین های موجود در یک زمان خاص است,1
73376,noun,a long horizontal spar tapered at the end and used to support and spread a square sail or lateen,یک اسپار افقی بلند در انتهای آن مخروطی شده و برای پشتیبانی و پخش یک بادبان مربع یا لاتن استفاده می شود,1
73380,noun,shroud that is part of a ship's rigging,کفن که بخشی از تقلب کشتی است,1
73382,adjective,capable of being maintained,قابلیت نگهداری,1
73381,noun,"the prevailing current of thought; ""his thinking was in the American mainstream""","جریان غالب اندیشه ؛""تفکر او در جریان اصلی آمریکا بود""",1
73386,noun,impressiveness in scale or proportion,چشمگیر بودن در مقیاس یا نسبت,1
73383,adjective,"capable of being repaired or rectified; ""reparable damage to the car""; ""rectifiable wrongs""","قابلیت ترمیم یا اصلاح""خسارت قابل جبران به ماشین""؛""اشتباهات قابل اصلاح""",1
73387,adjective,"of a scale or mode; ""major scales""; ""the key of D major""","از یک مقیاس یا حالت ؛""مقیاس های اصلی""؛""کلید D ماژور""",1
73384,noun,"the act of sustaining life by food or providing a means of subsistence; ""they were in want of sustenance""; ""fishing was their main sustainment""","عمل تأمین زندگی توسط غذا یا تأمین وسیله ای برای امرار معاش ؛""آنها از روزی می خواستند""؛""ماهیگیری حمایت اصلی آنها بود""",1
73385,adjective,"majestic in manner or bearing; superior to mundane matters; ""his majestic presence""; ""olympian detachment""; ""olympian beauty and serene composure""","با شکوه از نظر شیوه یا تحمل.برتر از امور روزمره؛""حضور باشکوه او""؛""جدا شدن المپیک""؛""زیبایی المپیک و خونسردی آرام""",1
73388,verb,"have as one's principal field of study; ""She is majoring in linguistics""","رشته اصلی تحصیل خود را داشته باشید.""او در رشته زبانشناسی""",1
73389,verb,be a student; follow a course of study; be enrolled at an institute of learning,دانشجو باشیک دوره تحصیل را دنبال کنیددر یک موسسه یادگیری ثبت نام کنید,1
73390,noun,British statesman who was prime minister from 1990 until 1997 (born in 1943),دولتمرد انگلیس که از 1990 تا 1997 نخست وزیر بود (متولد 1943),1
73391,noun,"a university student who is studying a particular field as the principal subject; ""she is a linguistics major""","یک دانشجوی دانشگاه که در حال مطالعه یک رشته خاص به عنوان موضوع اصلی است.""او یک گرایش زبانشناسی است""",1
73392,noun,"a playing card in the major suit that has one or more black figures on it; ""she led a low spade""; ""spades were trumps""","یک کارت بازی در لباس اصلی که یک یا چند شکل سیاه روی آن وجود دارد.""او بیل پایین را رهبری کرد""؛""بیلها برنده بودند""",1
73393,noun,the period of time in your life after your physical growth has stopped and you are fully developed,دوره زمانی از زندگی شما پس از توقف رشد جسمی و رشد کامل شما,1
73395,noun,an operation performed on operands in order to obtain the value of a threshold function,عملیاتی که به منظور بدست آوردن مقدار یک تابع آستانه روی عملوندها انجام می شود,1
73394,noun,a threshold operation in which each operand is 0 or 1; output is 1 if and only if more than half the operands have the value 1,یک عملیات آستانه ای که در آن هر عملوند 0 یا 1 باشد.اگر فقط بیش از نیمی از عملوندها مقدار 1 را داشته باشند ، خروجی 1 است,1
73396,verb,"render; ""pay a visit""; ""pay a call""","ارائه دادن؛""بازدید""""تماس بگیرید""",1
73397,verb,"name again or anew; ""He was renamed Minister of the Interior""","دوباره نامگذاری کنید یا دوباره""وی به وزیر کشور تغییر نام یافت""",1
73401,verb,"urinate, of cattle and horses",ادرار کردن ، از گاو و اسب,1
73398,verb,"induce to have sex; ""Harry finally seduced Sally""; ""Did you score last night?""; ""Harry made Sally""","ایجاد رابطه جنسی""هری سرانجام سالی را اغوا کرد""؛""دیشب گل زدی؟""؛""هری سالی را ساخت""",1
73402,noun,the act of mixing cards haphazardly,عمل اختلاط کارتها,1
73400,verb,"make one's bed or clothes wet by urinating; ""This eight year old boy still wets his bed""","تخت یا لباس شخص را با ادرار خیس کنید.""این پسر هشت ساله هنوز تخت خود را خیس می کند""",1
73403,noun,a rearrangement in a different order,بازآرایی به ترتیب متفاوت,1
73399,verb,"pretend to do something by acting as if one was really doing it; ""She isn't really working--she's just going through the motions""","وانمود کنید کاری را انجام می دهید که گویی شخصی واقعاً آن را انجام می دهد.""او واقعاً کار نمی کند - او فقط حرکات را پشت سر می گذارد""",1
73404,noun,"shuffling again; ""the gambler demanded a reshuffle""","دوباره زدن""قمارباز خواستار یک تغییر جدید شد""",1
73405,noun,shuffling by splitting the pack and interweaving the two halves at their corners,با تقسیم بسته و در هم آمیختن دو نیمه در گوشه های آنها ، آنها را مرتب کنید,1
73406,verb,"comprehend; ""I cannot make out what this politician is saying""","درک کردن""من نمی توانم حرف های این سیاستمدار را بفهمم""",1
73408,verb,"use again in altered form; ""retread an old plot""","دوباره به شکل تغییر یافته استفاده کنید""بازخوانی یک طرح قدیمی""",1
73407,verb,snuggle and lie in a position where one person faces the back of the others,در موقعیتی بغل کنید و دراز بکشید که یک نفر رو به پشت دیگران باشد,1
73409,verb,"cast or model anew; ""She had to recast her image to please the electorate in her home state""","بازیگران یا مدل از نو؛""او برای جلب رضایت رای دهندگان در ایالت خود مجبور شد تصویر خود را دوباره بسازد""",1
73412,verb,"redden by applying rouge to; ""she rouged her cheeks""","قرمز شدن با استفاده از rouge به؛""او گونه هایش را خشن کرد""",1
73414,noun,someone skilled in weaving baskets,کسی که در بافت سبد مهارت دارد,1
73413,verb,"apply powder to; ""She powdered her nose""; ""The King wears a powdered wig""","پودر بزنید به""او بینی خود را پودر کرد""؛""شاه یک کلاه گیس پودر شده می پوشد""",1
73415,noun,a maker of belts,سازنده کمربند,1
73411,verb,"apply a highlighter to one's cheeks or eyebrows in order to make them more prominent; ""highlight the area above your eyebrows""","به منظور برجسته تر کردن برجستگی ، بر روی گونه ها یا ابروهای خود یک هایلایتر بزنید.""قسمت بالای ابروهای خود را برجسته کنید""",1
73410,verb,"make up work that was missed due to absence at a later point; ""I have to make up a French exam""; ""Can I catch up with the material or is it too late?""","کاری را که بعداً به دلیل غیبت از قلم افتاده است ، آرایش کنید.""من باید یک آزمون فرانسه بسازم""؛""آیا می توانم از پس مطالب برسم یا خیلی دیر است؟""",1
73417,noun,a maker of malt,سازنده مالت,1
73416,noun,a person who makes articles of iron,شخصی که از آهن ساخته می شود,1
73420,noun,a person who makes pianos,شخصی که پیانو می سازد,1
73419,noun,a person who makes (and sells) perfumes,شخصی که عطر می سازد (و می فروشد),1
73422,noun,a maker of sails,سازنده بادبان,1
73418,noun,someone who makes patterns (as for sewing or carpentry or metalworking),کسی که الگوهایی درست می کند (مانند خیاطی یا نجاری یا فلزکاری),1
73421,noun,a maker and repairer and seller of equipment for horses,سازنده و تعمیرکار و فروشنده تجهیزات اسب,1
73423,noun,a maker of shirts,سازنده پیراهن,1
73425,noun,a worker engaged in making steel,کارگری که مشغول ساختن فولاد است,1
73424,noun,someone who spins (who twists fibers into threads),کسی که می چرخد (که الیاف را به نخ می پیچاند),1
73426,noun,someone who makes or repairs tents,کسی که چادر درست می کند یا تعمیر می کند,1
73428,noun,someone who makes wine,کسی که شراب درست می کند,1
73427,noun,someone skilled in making or repairing tools,کسی که در ساخت یا تعمیر ابزار ماهر است,1
73429,noun,someone who makes violins,کسی که ویولون درست می کند,1
73430,noun,someone who makes and sells wigs,کسی که کلاه گیس درست می کند و می فروشد,1
73432,noun,a manufacturer that makes and bottles beverages,تولید کننده ای که نوشیدنی درست و بطری می کند,1
73433,noun,a business engaged in the manufacture of automobiles,شغلی که در زمینه تولید اتومبیل فعالیت می کند,1
73431,noun,a Belgian maker of musical instruments who invented the saxophone (1814-1894),سازنده بلژیکی آلات موسیقی که ساکسیفون را اختراع کرد (1894-1814),1
73434,noun,a business that manufactures and sells computers,شغلی که کامپیوتر تولید و فروش می کند,1
73435,noun,a weight added to the scale to reach a required weight,وزنی که برای رسیدن به وزن مورد نیاز به ترازو اضافه می شود,1
73436,noun,the production of movies,تولید فیلم,1
73437,noun,the quality or state of being ineligible,کیفیت یا وضعیت عدم صلاحیت,1
73438,noun,a Hebrew minor prophet of the 5th century BC,پیامبر صغیر عبری قرن 5 قبل از میلاد,1
73439,noun,blue carbonate of copper; blue malachite,کربنات آبی مس؛مالاکیت آبی,1
73440,adjective,showing faulty adaptation,نشان دادن سازگاری معیوب,1
73442,adjective,poorly adjusted,ضعیف تنظیم شده,1
73441,adjective,"(of a trait or condition) failing to serve an adjustive purpose; ""dysfunctional behavior""","(از یک صفت یا شرایط) نتواند در خدمت مقصود قضائی باشد.""رفتار ناکارآمد""",1
73445,adjective,"not well adjusted; ""a maladjusted carburetor""","خوب تنظیم نشده""یک کاربراتور ناسازگار""",1
73443,adjective,"poorly adjusted to demands and stresses of daily living; ""a maladjusted child""","با خواسته ها و استرس های زندگی روزمره سازگار نیست.""یک کودک ناسازگار""",1
73444,adjective,"not having adapted to new conditions; ""several unadjusted refugees""","سازگار نبودن با شرایط جدید""چندین پناهنده تنظیم نشده""",1
73449,adjective,(of a person) lacking mechanical skills,(از شخص) فاقد مهارت مکانیکی است,1
73446,adjective,"not altered to fit certain requirements; ""an unadjusted figure of 8.5 percent""; ""the unadjusted clock is running fast"";","تغییر نکرده تا متناسب با نیازهای خاص باشد""رقم اصلاح نشده 8.5 درصدی"" ؛""ساعت تنظیم نشده سریع در حال اجراست""؛",1
73450,noun,breed of sled dog developed in Alaska,نژاد سگ سورتمه در آلاسکا توسعه یافته است,1
73447,noun,the condition of being unable to adapt properly to your environment with resulting emotional instability,شرایط عدم توانایی سازگاری مناسب با محیط خود با بی ثباتی عاطفی ناشی از آن,1
73451,noun,a dog trained to draw a sled usually in a team,سگی که برای کشیدن یک سورتمه کوهی معمولاً به صورت تیمی آموزش دیده است,1
73448,adjective,"lacking the skillful and effective  interaction of  muscle movements ; ""his movements are uncoordinated""; ""an uncoordinated toddler""","فاقد تعامل ماهرانه و موثر حرکات عضلانی ؛""حرکات او ناهماهنگ است""؛""یک کودک نوپا ناهماهنگ""",1
73452,noun,the unintentional misuse of a word by confusion with one that sounds similar,سو mis استفاده ناخواسته از یک کلمه با اشتباه گرفتن با کلمه ای که به نظر مشابه می رسد,1
73454,noun,severe form of malaria occurring in tropical regions,شکل شدید مالاریا که در مناطق گرمسیری رخ می دهد,1
73453,noun,severe and often fatal malaria characterized by kidney damage resulting in dark urine,مالاریای شدید و اغلب کشنده که با آسیب کلیه و در نتیجه ادرار تیره مشخص می شود,1
73455,noun,the Malay language spoken in Malaysia,زبان مالایی که در مالزی صحبت می شود,1
73457,noun,someone who is peevish or disgruntled,کسی که عصبی یا ناراضی است,1
73456,noun,a disputant who quibbles; someone who raises annoying petty objections,مشاجره ای که لرزان است.کسی که اعتراض های کوچک آزار دهنده را مطرح می کند,1
73458,noun,someone who quarrels about a small matter,کسی که در مورد یک موضوع کوچک دعوا می کند,1
73459,adjective,associated with men and not with women,با مردان در ارتباط است و نه با زنان,1
73463,adjective,capable of fathering offspring,قادر به پدر و مادر فرزندان است,1
73460,adjective,"for or pertaining to or composed of men or boys; ""the male lead""; ""the male population""","برای یا مربوط به مردان یا پسران.""سرب نر""؛""جمعیت مرد""",1
73464,adjective,"characteristic of a man; ""a deep male voice""; ""manly sports""","ویژگی یک مرد ؛""صدای عمیق مردانه"" ؛""ورزش مردانه""",1
73461,adjective,"resembling or being a phallus; ""a phallic symbol""; ""phallic eroticism""; ""priapic figurines""","شبیه فالوس یا بودن""یک نماد فالیک"" ؛""اروتیسم فالیک""؛""مجسمه های پری اپیک""",1
73462,adjective,"overly concerned with masculinity and male sexuality; ""priapic episodes""; ""priapic victories""","بیش از حد به مردانگی و جنسیت مرد توجه دارند.""قسمت های پری اپیک"" ؛""پیروزی های دریچه ای""",1
73466,noun,an extremely talented young male person,یک مرد جوان بسیار با استعداد,1
73465,noun,male parent of an animal especially a domestic animal such as a horse,پدر و مادر نر یک حیوان به خصوص حیوانات اهلی مانند اسب,1
73468,noun,a male exhibiting or characterized by machismo,یک مرد که به نمایش در می آید یا با ماشین گرایی مشخص می شود,1
73467,noun,your foster brother is a male who is not a son of your parents but who is raised by your parents,برادر رضاعی شما یک مرد است که پسر پدر و مادر شما نیست اما توسط والدین شما تربیت می شود,1
73470,noun,"a male person; ""every mother's son who could walk was there""","یک مرد""هر پسر مادری که می توانست راه برود آنجا بود""",1
73469,noun,"an adult male person who has a manly character (virile and courageous competent); ""the army will make a man of you""","یک فرد مرد بالغ که دارای یک شخصیت مردانه (دارای ذاتی و شجاع است).""ارتش مردی از تو خواهد ساخت""",1
73471,noun,formerly a contemptuous term of address to an inferior man or boy; often used in anger,قبلاً خطاب تحقیرآمیز به یک مرد یا پسر فرومایه بود.اغلب در خشم استفاده می شود,1
73472,noun,the capital of Maldives in the center of the islands,پایتخت مالدیو در مرکز جزایر,1
73474,noun,doing or causing evil,انجام یا ایجاد شرارت,1
73475,noun,feeling a need to see others suffer,احساس نیاز به دیدن رنج دیگران,1
73476,noun,a malevolent desire for revenge,میل بدخواهانه برای انتقام,1
73473,noun,fern of North America and Europe whose rhizomes and stalks yield an oleoresin used to expel tapeworms,سرخس آمریکای شمالی و اروپا که ریزوم ها و ساقه های آن یک اولئورزین تولید شده برای دفع کرم های نواری تولید می کند,1
73478,noun,wrongful conduct by a public official,رفتار نادرست توسط یک مقام عمومی,1
73479,noun,"something hideous or frightful; ""they regarded the atom bomb as a monstrosity""","چیزی شنیع یا ترسناک""آنها بمب اتم را به عنوان یک هیولا در نظر گرفتند""",1
73477,adjective,"wishing or appearing to wish evil to others; arising from intense ill will or hatred; ""a gossipy malevolent old woman""; ""failure made him malevolent toward those who were successful""","آرزو کردن یا ظاهر شدن آرزوی بدی برای دیگران ؛ناشی از اراده شدید بیمار یا نفرت ؛""پیرزن بدخواه شایعه""؛""شکست او را نسبت به افراد موفق بدخواه کرد""",1
73482,adjective,"showing sly or knowing malice in a glance; ""she had run in fear of...his evil leering eye""- Amy Lowell","نشان دادن حیله گر یا دانستن سو mal نیت در یک نگاه؛""او از ترس ... چشم شرور بدجنس او فرار کرده بود"" - امی لاول",1
73483,adjective,having eyes that gleam with malice,داشتن چشمهایی که از سو mal نیت می درخشند,1
73480,noun,"a sudden malfunction of a part or apparatus; ""the right front tire had a blowout""; ""as a result of the blowout we lost all the lights""","سو sudden عملکرد ناگهانی یک قطعه یا دستگاه ؛""لاستیک جلو راست منفجر شد""؛""در نتیجه انفجار ، همه چراغها را از دست دادیم""",1
73481,noun,"a malfunction in the flight of an aircraft in which there is a sudden loss of lift that results in a downward plunge; ""the plane went into a stall and I couldn't control it""","سو mal عملکرد در پرواز یک هواپیما که در آن از دست دادن ناگهانی بالابر وجود دارد که منجر به سقوط رو به پایین می شود.""هواپیما به یک دکه رفت و من قادر به کنترل آن نبودم""",1
73485,adjective,"full of malice or hate; ""venomed remarks""","پر از کینه و نفرت؛""سخنان زشت""",1
73486,adjective,"shrewish and malicious; ""a vixenish old woman""","زیرک و بدخواه؛""یک پیرزن زشت""",1
73487,noun,a public area set aside as a pedestrian walk,یک مکان عمومی که برای پیاده روی کنار گذاشته شده است,1
73484,adjective,"marked by deep ill will; deliberately harmful; ""poisonous hate""; ""venomous criticism""; ""vicious gossip""","مشخص شده توسط بیمار عمیقعمداً مضر ؛""نفرت سمی""؛""انتقاد سمی""؛""شایعات شرورانه""",1
73489,noun,type genus of the Anatidae: freshwater ducks,جنس نوع Anatidae: اردک های آب شیرین,1
73488,noun,a long stretch of open level ground (paved or grassy) for walking beside the seashore,کشش طولانی از سطح زمین باز (آسفالت یا چمنزار) برای راه رفتن در کنار ساحل دریا,1
73492,noun,a mallet used to strike the ball in croquet,پتکی که در کروکت برای ضربه زدن به توپ استفاده می شود,1
73490,noun,the malleability of something that can be drawn into threads or wires or hammered into thin sheets,قابلیت انعطاف پذیری چیزی که می تواند به نخ ها یا سیم ها کشیده شود یا به ورق های نازک کوبیده شود,1
73493,noun,a mallet used to strike the ball in polo,پتکی که برای زدن توپ در چوگان استفاده می شود,1
73491,noun,a sports implement with a long handle and a head like a hammer; used in sports (polo or croquet) to hit a ball,اجرای ورزشی با دسته بلند و سر مانند چکش ؛در ورزش (چوگان یا کروکت) برای ضربه زدن به توپ استفاده می شود,1
73494,noun,erect Old World perennial with faintly musk-scented foliage and white or pink flowers; adventive in United States,چندین سال دنیای قدیم را با شاخ و برگهایی با رایحه مشک و گلهای سفید یا صورتی برپا کنید.تبلیغاتی در ایالات متحده است,1
73495,noun,annual Old World plant with clusters of pink or white flowers; naturalized in United States,گیاه سالانه جهان قدیم با خوشه هایی از گل های صورتی یا سفید.در ایالات متحده طبیعی شده است,1
73497,noun,a plant of the genus Callirhoe having palmately cleft leaves and white to red or purple flowers borne throughout the summer,گیاهی از تیره Callirhoe دارای برگهای شکاف نخل و شکوفه های سفید تا قرمز یا بنفش که در تمام تابستان تحمل می شود,1
73498,noun,a rare mallow found only in Illinois resembling the common hollyhock and having pale rose-mauve flowers; sometimes placed in genus Sphaeralcea,گل ختمی کمیاب که فقط در ایلینوی یافت می شود و شبیه گل خاکی معمولی است و دارای گلهای بنفش گل رز است.گاهی اوقات در تیره Sphaeralcea قرار می گیرد,1
73496,noun,tall annual herb or subshrub of tropical Asia having velvety leaves and yellow flowers and yielding a strong fiber; naturalized in southeastern Europe and United States,گیاهان یکساله بلند یا زیر درختچه آسیای گرمسیری دارای برگهای مخملی و گلهای زرد و دارای فیبر قوی.در جنوب شرقی اروپا و ایالات متحده طبیعی شده است,1
73499,noun,perennial of northwestern United States and western Canada resembling a hollyhock and having white or pink flowers,چند ساله در شمال غربی ایالات متحده آمریکا و غرب کانادا شبیه یک تپه کوهی و دارای گلهای سفید یا صورتی است,1
73500,noun,any of various plants of the genus Kosteletzya predominantly of coastal habitats; grown for their flowers that resemble hibiscus,هر یک از گیاهان مختلف از جنس Kosteletzya عمدتا از زیستگاه های ساحلی.برای گلهایشان که شبیه به گل ماهی است ، رشد کرده است,1
73503,noun,an American plant of the genus Malvastrum,یک گیاه آمریکایی از تیره Malvastrum,1
73502,noun,western Mediterranean annual having deep purple-red flowers subtended by 3 large cordate bracts,غرب سالانه مدیترانه ای دارای گلهای قرمز بنفش عمیق است که توسط 3 عدد شاخه بزرگ قلبی پوشانده شده است,1
73501,noun,shrub of coastal ranges of California and Baja California having hairy branches and spikes of numerous mauve flowers; sometimes placed in genus Sphaeralcea,درختچه ای از رشته های ساحلی کالیفرنیا و باخا کالیفرنیا دارای شاخه های مویی و سنبله های گل های مختلف مرواریدگاهی اوقات در تیره Sphaeralcea قرار می گیرد,1
73504,noun,any of various plants of the genus Malvaviscus having brilliant bell-shaped drooping flowers like incompletely opened hibiscus flowers,هر یک از گیاهان مختلف از تیره Malvaviscus دارای گلهای آویزان زنگوله ای درخشان مانند گل های گیاه Hibiscus کاملا باز نشده,1
73506,noun,tall handsome perennial herb of southeastern United States having maplelike leaves and white flowers,یک گیاه چند ساله زیبا و زیبا در جنوب شرقی ایالات متحده با افرا مانند برگ و گل های سفید,1
73505,noun,tall coarse American herb having palmate leaves and numerous small white dioecious flowers; found wild in most alluvial soils of eastern and central United States,گیاهی بلند و درشت آمریکایی دارای برگ های نخل و تعداد زیادی گل کوچک دوتایی سفید.در بیشتر خاکهای آبرفتی شرق و مرکز ایالات متحده وحشی است,1
73508,noun,tropical American weed having pale yellow or orange flowers naturalized in southern United States,علفهای هرز گرمسیری آمریکایی دارای گلهای زرد یا نارنجی کم رنگ که در جنوب ایالات متحده طبیعی شده اند,1
73511,noun,sweet Madeira wine,شراب شیرین مادیرا,1
73509,noun,perennial purple-flowered wild mallow of western North America that is also cultivated,گل همیشه بهار گل مایل به گل بنفش چند ساله در غرب آمریکای شمالی که همچنین کشت می شود,1
73507,noun,herb widely distributed in tropics and subtropics used for forage and medicinally as a demulcent and having a fine soft bast stronger than jute; sometimes an aggressive weed,گیاهان به طور گسترده ای در مناطق گرمسیری و نیمه گرمسیری که برای علوفه و دارویی به عنوان تخریب و دارای یک پوسته نرم خوب و قوی تر از جوت استفاده می شود توزیع می شود.گاهی علفهای هرز تهاجمی است,1
73512,noun,used to make malmsey wine,برای تهیه شراب مالمسی استفاده می شود,1
73510,noun,genus of coarse herbs and subshrubs of arid North and South America having pink or scarlet flowers and globose fruits,تیره گیاهان درشت و زیر درختچه های خشک آمریکای شمالی و جنوبی دارای گلهای صورتی یا قرمز مایل به قرمز و میوه های کروی,1
73516,adjective,not fed,سیر نشده,1
73513,noun,an amber dessert wine from the Madeira Islands,یک شراب دسر کهربایی از جزایر مادیرا,1
73515,adjective,suffering from lack of food,از کمبود غذا رنج می برند,1
73517,adjective,not nourished,تغذیه نشده,1
73514,adjective,"not getting adequate food; ""gaunt underfed children""; ""badly undernourished""","دریافت نکردن غذای کافی ؛""بچه های کم غذا""""بد سو undتغذیه""",1
73520,adjective,of noxious stench from atmospheric pollution,از بوی بد مضر آلودگی های جوی,1
73521,adjective,"emitting an odor; ""odorous salt pork and weevily hardtack""","انتشار بوی ؛""گوشت خوک نمکی معطر و سخت سخت""",1
73522,adjective,having the putrid odor of decaying organic matter,داشتن بوی تند مواد آلی پوسیده,1
73518,noun,severe malnutrition in children resulting from a diet excessively high in carbohydrates and low in protein,سو mal تغذیه شدید در کودکان ناشی از رژیم غذایی بیش از حد پر کربوهیدرات و پروتئین کم,1
73523,adjective,having an offensive rancid odor,دارای بوی تند و زننده,1
73519,noun,extreme malnutrition and emaciation (especially in children); can result from inadequate intake of food or from malabsorption or metabolic disorders,سو mal تغذیه شدید و لاغری (به ویژه در کودکان) ؛می تواند ناشی از مصرف ناکافی غذا یا سو mala جذب یا اختلالات متابولیکی باشد,1
73526,noun,faulty position,موقعیت معیوب,1
73524,adjective,giving off a strong unpleasant smell,بوی نامطبوع شدید می دهد,1
73525,adjective,smelling of fermentation or staleness,بوی تخمیر یا کهنگی,1
73530,noun,a milkshake made with malt powder,یک میلک شیک ساخته شده با پودر مالت,1
73529,verb,"treat with malt or malt extract; ""malt beer""","درمان با مالت یا عصاره مالت ؛""آبجو مالت""",1
