id,pos,gloss,persian_gloss,checked,,,,,,
87238,noun,brown fish of the Atlantic and Mediterranean found around rocks and shipwrecks,ماهی های قهوه ای اقیانوس اطلس و مدیترانه در اطراف سنگ ها و غرق کشتی ها یافت می شود,0,,,,,,
87239,noun,found in warm shallow waters of western Atlantic,در آبهای کم عمق گرم اقیانوس اطلس غربی یافت می شود,0,,,,,,
87240,noun,an animal order including: manatees; dugongs; Steller's sea cow,یک نظم حیوانات از جمله:,0,,,,,,
87241,noun,sirenian tusked mammal found from eastern Africa to Australia; the flat tail is bilobate,پستاندار حرکتی آژیرین از شرق آفریقا تا استرالیا پیدا شد.,0,,,,,,
87242,noun,extinct large sirenian mammal formerly found near Asiatic coast of the Bering Sea,پستانداران بزرگ آژیر منقرض شده که قبلاً در نزدیکی ساحل آسیا از دریای برینگ پیدا شده بود,0,,,,,,
87243,noun,either of two large northern marine mammals having ivory tusks and tough hide over thick blubber,هر یک از دو پستاندار بزرگ دریایی شمال که دارای عاج های عاجی و پنهان کردن سخت از چربی غلیظ هستند,0,,,,,,
87244,noun,type genus of the Odobenidae: walruses,جنس نوع Odobenidae: والور,0,,,,,,
87245,noun,a walrus of northern Atlantic and Arctic waters,یک آتشفشان از شمال اقیانوس اطلس و آبهای قطب شمال,0,,,,,,
87246,noun,a walrus of the Bering Sea and northern Pacific,یک توت دریای دریای برینگ و شمال اقیانوس آرام,0,,,,,,
87247,noun,small fish with horselike heads bent sharply downward and curled tails; swim in upright position,ماهی های کوچک با سرهای اسب به شدت دم خم و خمیده دارند.,0,,,,,,
87248,noun,seahorses,اسب های دریایی,0,,,,,,
87249,noun,fish with long tubular snout and slim body covered with bony plates,ماهی با پوزه لوله ای بلند و بدن باریک پوشیده از صفحات استخوانی,0,,,,,,
87250,noun,a seaway involving the Saint Lawrence River and the Great Lakes that was developed jointly by Canada and the United States; oceangoing ships can travel as far west as Lake Superior,دریایی شامل رودخانه سنت لارنس و دریاچه های بزرگ که به طور مشترک توسط کانادا و ایالات متحده توسعه یافته است.,0,,,,,,
87251,noun,the seaward undercurrent created after waves have broken on the shore,زیر جریان دریا که پس از شکستن امواج در ساحل ایجاد شده است,0,,,,,,
87252,noun,a cylindrical drawstring bag used by sailors to hold their clothing and other gear,یک کیسه طناب کشی استوانه ای که توسط ملوانان برای نگه داشتن لباس و سایر وسایل خود استفاده می شود,0,,,,,,
87253,noun,the deep sea (2000 meters or more) where there is no light,دریای عمیق (2000 متر یا بیشتر) که در آن نوری وجود ندارد,0,,,,,,
87254,noun,the steep descent of the seabed from the continental shelf to the abyssal zone,نزول شیب دار بستر دریا از فلات قاره به منطقه پرتگاه,0,,,,,,
87255,noun,the ocean waters from the low tide mark to a depth of about 100 fathoms,آبهای اقیانوس از عایق جزر و مد کم تا عمق حدود 100 قدم,0,,,,,,
87256,noun,the lowest level of the ocean to which light can reach,کمترین سطح اقیانوس که نور می تواند به آن برسد,0,,,,,,
87257,noun,water travel for pleasure,سفر برای لذت بردن از آب,0,,,,,,
87258,verb,"cause to experience shipwreck; ""They were shipwrecked in one of the mysteries at sea""",تجربه غرق شدن کشتی ؛,0,,,,,,
87259,noun,large marine snail much used as food in Europe,حلزون دریایی بزرگ که در اروپا به عنوان غذا استفاده می شود,0,,,,,,
87260,adjective,surrounded or enclosed by the sea,توسط دریا احاطه شده یا محصور شده است,0,,,,,,
87261,adjective,"having a border especially of a specified kind; sometimes used as a combining term; ""black-bordered handkerchief""",داشتن مرز مخصوصاً از نوع مشخص شده ؛,0,,,,,,
87262,verb,"seal again; ""reseal the bottle after using the medicine""",دوباره مهر بزن,0,,,,,,
87263,verb,"make watertight; ""Waterproof the coat""",ضد آب شدن,0,,,,,,
87264,verb,"cover with shellac; ""She wanted to shellac the desk to protect it from water spots""",پوشش با شلاک ؛,0,,,,,,
87265,noun,the round leaden seal affixed to a papal bull,مهر سربی گرد روی گاو نر پاپی چسبانده شده است,0,,,,,,
87266,noun,a seal (especially one used to mark documents officially),یک مهر و موم (به ویژه یکی که برای علامت گذاری رسمی اسناد استفاده می شود),0,,,,,,
87267,noun,seal consisting of a coating of a tar or rubberlike material on the underside of a motor vehicle to retard corrosion,مهر و موم متشکل از یک پوشش قیر یا مواد مانند لاستیک در قسمت زیرین وسیله نقلیه موتوری برای عقب انداختن خوردگی است,0,,,,,,
87268,noun,"a seal that must be broken when first used and cannot easily be resealed; ""it was stored in a tube with a break seal""",یک مهر و موم که باید در هنگام استفاده اولین بار شکسته شود و به راحتی نمی توان آن را مهر و موم کرد.,0,,,,,,
87269,noun,seal consisting of a flat disk placed to prevent leakage,مهر و موم متشکل از یک دیسک تخت قرار داده شده برای جلوگیری از نشت,0,,,,,,
87270,noun,silvery grey Antarctic seal subsisting on crustaceans,مهر و موم قطب جنوب خاکستری نقره ای موجود در سخت پوستان,0,,,,,,
87271,noun,pinniped mammal having external ear flaps and hind limbs used for locomotion on land; valued for its soft underfur,پستانک بالدار دارای فلپ گوش خارجی و اندامهای عقب که برای جابجایی در خشکی استفاده می شود.,0,,,,,,
87272,adjective,sealed with a cork,مهر و موم شده با چوب پنبه,0,,,,,,
87273,adjective,"closed or secured tightly so as to prevent ingress or egress; ""a sealed off pipe""; ""the sealed off airport was surrounded by a cordon of police""",محکم بسته یا محکم شود تا از ورود یا خروج جلوگیری کند.,0,,,,,,
87274,adjective,marked with the impression of a seal,با مهر و موم مشخص شده است,0,,,,,,
87275,adjective,"not yet opened or unsealed; ""unopened Christmas presents""",محکم بسته یا محکم شود تا از ورود یا خروج جلوگیری کند.,0,,,,,,
87276,adjective,"undisclosed for the time being; ""sealed orders""; ""a sealed move in chess""",فعلاً نامشخص,0,,,,,,
87277,adjective,"covered with a waterproof coating; ""a sealed driveway""",با پوشش ضد آب پوشانده شده است.,0,,,,,,
87278,verb,"join with a suture; ""suture the wound after surgery""",با بخیه پیوستن,0,,,,,,
87279,noun,a seam used in surgery,درز مورد استفاده در جراحی,0,,,,,,
87280,noun,a raised or strengthened seam,یک درز برجسته یا تقویت شده,0,,,,,,
87281,adjective,"knitted in tubular form; ""circular-knit sweaters without seams""",بافتنی به شکل لوله؛,0,,,,,,
87282,adjective,"having no seams; ""an unseamed garment made of pastic""",بدون درز؛,0,,,,,,
87283,adjective,"used especially of skin; ""his cheeks were unlined""; ""his unseamed face""",مخصوصاً در پوست استفاده می شود.,0,,,,,,
87284,adjective,showing a seam,درز نشان دادن,0,,,,,,
87285,adjective,having or joined by a seam or seams,درز یا درزها به آنها پیوسته است,0,,,,,,
87286,noun,alleged form of communication with spirits of the dead,شکل ادعایی ارتباط با ارواح مردگان,0,,,,,,
87287,noun,manipulation of a table during a seance; attributed to spirits,دستکاری یک میز در طول یک مکان؛,0,,,,,,
87288,verb,"search (someone) for weapons or drugs by having the person remove their clothes; ""He was strip-searched at the airport""",با کاستن از لباس ، لباس شخصی را برای سلاح یا مواد مخدر جستجو کنید.,0,,,,,,
87289,noun,large metallic blue-green beetle that preys on caterpillars; found in North America,سوسک بزرگی به رنگ سبز آبی و فلزی که طعمه های کبوتر است.,0,,,,,,
87290,noun,any beetle of the genus Calosoma,هر سوسک از جنس کالوزوما,0,,,,,,
87291,noun,the shell of a marine organism,پوسته موجود زنده دریایی,0,,,,,,
87292,noun,motion sickness experienced while traveling on water,بیماری حرکت هنگام مسافرت روی آب تجربه شده است,0,,,,,,
87293,noun,the season during which a crop grows best,فصلی که طی آن بهترین محصول رشد می کند,0,,,,,,
87294,noun,the time during which seeds should be planted,زمانی که باید بذر کاشته شود,0,,,,,,
87295,noun,the time or season when sheep are sheared,زمان یا فصلی که گوسفندان قیچی می شوند,0,,,,,,
87296,noun,a time when many people take holidays,زمانی که بسیاری از مردم تعطیلات را می گذرانند,0,,,,,,
87297,noun,"the season when travel is most active and rates are highest; ""they traveled to Europe in high season""",فصلی که مسافرت بیشتر فعال است و نرخ آن بالاترین است.,0,,,,,,
87298,noun,the season when travel is least active and rates are lowest,فصلی که سفر کمترین فعالیت را دارد و نرخ آن پایین ترین است,0,,,,,,
87299,noun,a period prior to the beginning of the regular season which is devoted to training and preparation,یک دوره قبل از شروع فصل عادی که به آموزش و آمادگی اختصاص دارد,0,,,,,,
87300,noun,the season when baseball is played,فصلی که بیس بال بازی می شود,0,,,,,,
87301,noun,the season when basketball is played,فصلی که بسکتبال بازی می شود,0,,,,,,
87302,noun,the time before the regular games begin when football or baseball teams play practice games,زمان قبل از شروع بازیهای عادی هنگامی که تیم های فوتبال یا بیس بال بازی های تمرینی را انجام می دهند,0,,,,,,
87303,noun,the season during which it is legal to catch fish,فصلی که صید ماهی در آن قانونی است,0,,,,,,
87304,noun,the season when football is played,فصلی که فوتبال بازی می شود,0,,,,,,
87305,noun,the season when hockey is played,فصلی که هاکی بازی می شود,0,,,,,,
87306,noun,the season during which it is legal to kill a particular species,فصلی که طی آن کشتن یک گونه خاص قانونی است,0,,,,,,
87307,noun,the season for major social events,فصل رویدادهای مهم اجتماعی,0,,,,,,
87308,noun,the season when new plays are produced,فصلی که نمایشنامه های جدید تولید می شود,0,,,,,,
87309,noun,the season for cutting and drying and storing grass as fodder,فصل برش و خشک کردن و ذخیره چمن به عنوان علوفه,0,,,,,,
87310,noun,"the season of growth; ""the emerging buds were a sure sign of spring""; ""he will hold office until the spring of next year""",فصل رشد؛,0,,,,,,
87311,noun,one of the two seasons in tropical climates,یکی از دو فصل در مناطق گرمسیری,0,,,,,,
87312,noun,the season of Michaelmas,فصل مایکلما,0,,,,,,
87313,noun,the season of Lammas,فصل لاماس,0,,,,,,
87314,noun,the Easter season,فصل عید پاک,0,,,,,,
87315,noun,the season of Epiphany,فصل Epiphany,0,,,,,,
87316,noun,the season of All Saints' Day,فصل روز همه مقدسین,0,,,,,,
87317,noun,a worker who finds employment only in certain seasons,کارگری که فقط در فصول خاص شغل پیدا می کند,0,,,,,,
87318,noun,the act of adding salt to food,عمل افزودن نمک به غذا,0,,,,,,
87319,noun,the act of adding a sweetener to food,عمل افزودن شیرین کننده به غذا,0,,,,,,
87320,verb,"show to a different seat; ""The usher insisted on reseating us""",نشان دادن به یک صندلی متفاوت ؛,0,,,,,,
87321,noun,the legendary seat at King Arthur's Round Table reserved for the knight who would find the Holy Grail; it was fatal for anyone else to sit in it,صندلی افسانه ای در میز گرد شاه آرتور مخصوص شوالیه ای است که جام مقدس را پیدا می کند.,0,,,,,,
87322,noun,a seat that has a bell shape (on some 18th century chairs),صندلی دارای شکل زنگ (روی برخی صندلی های قرن 18),0,,,,,,
87323,noun,a seat consisting of a board and a rope; used while working aloft or over the side of a ship,یک صندلی متشکل از یک تخته و یک طناب ؛,0,,,,,,
87324,noun,rower's seat that slides fore and aft,صندلی قایقران که به جلو و عقب بلغزد,0,,,,,,
87325,noun,city in western Bolivia and the administrative seat of Bolivia's government; largest city in Bolivia,شهری در غرب بولیوی و مقر اداری دولت بولیوی ؛,0,,,,,,
87326,noun,the service of ushering people to their seats,خدمات رساندن مردم به صندلی هایشان,0,,,,,,
87328,noun,an edible seaweed with a mild flavor,یک جلبک دریایی خوراکی با عطر و طعم ملایم,0,,,,,,
87327,adjective,"directed or situated away from inland regions and toward the sea or coast; ""from the hill he took a seaward course""; ""on the seaward side of the road""",از مناطق داخلی و به سمت دریا یا ساحل هدایت یا واقع شده است.,0,,,,,,
87329,noun,dried seaweed especially that cast ashore,جلبک های دریایی خشک شده به خصوص در ساحل,0,,,,,,
87330,noun,"any of various seaweeds that grow underwater in shallow beds; ""seagrass provides a protective environment in which young fish can develop""",از مناطق داخلی و به سمت دریا یا ساحل هدایت یا واقع شده است.,0,,,,,,
87331,noun,growth of marine vegetation especially of the large forms such as rockweeds and kelp,رشد پوشش گیاهی دریایی به ویژه در اشکال بزرگ مانند گیاهان سنگ شکم و دریاها,0,,,,,,
87332,noun,any of various coarse seaweeds,هر یک از جلبک های دریایی درشت,0,,,,,,
87333,noun,fitness to traverse the seas,تناسب اندام برای عبور از دریاها,0,,,,,,
87334,adjective,fit for a sea voyage,مناسب برای سفر دریایی,0,,,,,,
87335,noun,ratio of the hypotenuse to the adjacent side of a right-angled triangle,نسبت هیپوتنوز به ضلع مجاور یک مثلث قائم الزاویه,0,,,,,,
87336,noun,an independent federal agency that oversees the exchange of securities to protect investors,یک آژانس مستقل فدرال که نظارت بر مبادله اوراق بهادار را برای محافظت از سرمایه گذاران انجام می دهد,0,,,,,,
87337,noun,a straight line that intersects a curve at two or more points,یک خط مستقیم که یک منحنی را در دو یا چند نقطه قطع می کند,0,,,,,,
87338,noun,the secretion of milk,ترشح شیر,0,,,,,,
87339,noun,excessive secretion,ترشح بیش از حد,0,,,,,,
87340,noun,the withdrawal of eleven southern states from the Union in 1860 which precipitated the American Civil War,خروج یازده ایالت جنوبی از اتحادیه در سال 1860 که باعث جنگ داخلی آمریکا شد,0,,,,,,
87341,noun,the act of secluding yourself from others,عمل جدا شدن از دیگران,0,,,,,,
87342,noun,retreating to the seclusion of your home (as for privacy or escape),عقب نشینی به خلوت خانه خود (برای حفظ حریم خصوصی یا فرار),0,,,,,,
87343,verb,transfer an employee to a different," temporary assignment; ""The officer was seconded for duty overseas""",انتقال یک کارمند به یک وظیفه موقت متفاوت ؛,,,,,,
87344,noun,someone who serves in a subordinate capacity or plays a secondary role,کسی که در خدمت تابع خدمت می کند یا نقش ثانویه دارد,0,,,,,,
87345,noun,a second hand that is mounted on the same center as the hour and minute hand and is read on the minutes,دست دوم که در همان مرکز عقربه ساعت و دقیقه نصب شده و روی صورت جلسه خوانده می شود,0,,,,,,
87346,adjective,"derived from what is primary or original; not firsthand; ""a secondhand report""; ""a secondhand account of a memory of something once read""; ""most of our knowledge is secondhand""",مشتق شده از آنچه اولیه یا اصلی است؛,0,,,,,,
87347,adjective,being a replacement or substitute for a regular member of a team,دست دوم که در همان مرکز عقربه ساعت و دقیقه نصب شده و روی صورت جلسه خوانده می شود,0,,,,,,
87348,adjective,"ready for emergency use; ""a standby generator""; ""a standby crew""",مشتق شده از آنچه اولیه یا اصلی است؛,0,,,,,,
87349,adjective,"derived from what is primary or original by two intermediate steps; ""a thirdhand report""",مشتق شده از آنچه اولیه یا اصلی است با دو مرحله متوسط؛,0,,,,,,
87350,adjective,of a stream; flowing into a larger stream,از یک جریان؛,0,,,,,,
87351,adjective,"capable of substituting in any of several positions on a team; ""a utility infielder""",قادر به تعویض در هر یک از چندین موقعیت تیمی است.,0,,,,,,
87352,adjective,"experienced at secondhand; ""read about mountain climbing and felt vicarious excitement""",با تجربه در دست دوم؛,0,,,,,,
87353,adjective,belonging to a lower class or rank,متعلق به یک طبقه یا درجه پایین تر,0,,,,,,
87354,adjective,"not open or public; kept private or not revealed; ""a secret formula""; ""secret ingredients""; ""secret talks""",باز یا عمومی نیست,0,,,,,,
87355,adjective,"not openly made known; ""a secret marriage""; ""a secret bride""",آشکارا شناخته نشده است,0,,,,,,
87356,adjective,"designed to elude detection; ""a hidden room or place of concealment such as a priest hole""; ""a secret passage""; ""the secret compartment in the desk""",طراحی شده برای جلوگیری از شناسایی,0,,,,,,
87357,noun,"something that is supposed to be secret but is generally known; ""their love affair was an open secret""",چیزی که قرار است مخفی باشد اما به طور کلی شناخته شده است.,0,,,,,,
87358,noun,a secret (method or device or formula) that gives a manufacturer an advantage over the competition,یک راز (روش یا دستگاه یا فرمول) که به تولیدکننده نسبت به رقابت مزیت می بخشد,0,,,,,,
87359,noun,the United States intelligence agency that protects current and former presidents and vice presidents and their immediate families and protects distinguished foreign visitors; detects and apprehends counterfeiters; suppresses forgery of government securities and documents,آژانس اطلاعاتی ایالات متحده که از روسای جمهور فعلی و پیشین و معاونان رئیس جمهور و خانواده های نزدیک آنها محافظت می کند و از بازدید کنندگان برجسته خارجی محافظت می کند.,0,,,,,,
87360,noun,the federal department that collects revenue and administers federal finances; the Treasury Department was created in 1789,یک راز (روش یا دستگاه یا فرمول) که به تولیدکننده نسبت به رقابت مزیت می بخشد,0,,,,,,
87361,noun,an administrative unit responsible for maintaining records and other secretarial duties; especially for international organizations,یک واحد اداری مسئول نگهداری سوابق و سایر وظایف دبیرخانه ؛,0,,,,,,
87362,noun,the administrative agency of the Organization of American States,آژانس اداری سازمان ایالت های آمریکا,0,,,,,,
87363,noun,the administrative arm of the United Nations,بازوی اداری سازمان ملل,0,,,,,,
87364,noun,thoroughbred that won the triple crown in 1973,اصیل که تاج سه گانه را در سال 1973 بدست آورد,0,,,,,,
87365,noun,"the person who holds the secretaryship of the Department of Agriculture; ""the first Secretary of Agriculture was Norman J. Colman"," who was appointed by Cleveland""",شخصی که دبیر اداره کشاورزی را بر عهده دارد ؛,0,,,,,
87366,noun,"the person who holds the secretaryship of the Department of Commerce; ""the first Commerce Secretary was William C. Redfield who was appointed by Wilson""",شخصی که دبیر وزارت بازرگانی را در اختیار دارد.,0,,,,,,
87367,noun,"the person who holds the secretaryship of the Defense Department; ""the first Defense Secretary was James V. Forrestal who was appointed by Truman""",شخصی که منشی وزارت دفاع را بر عهده دارد ؛,0,,,,,,
87368,noun,"the person who holds the secretaryship of the Department of Education; ""Carter appointed Shirley Hufstedler as the first Secretary of Education""",شخصی که دبیر اداره آموزش و پرورش را در اختیار دارد.,0,,,,,,
87369,noun,"the person who holds the secretaryship of the Department of Energy; ""the first Secretary of Energy was James R. Schlesinger who was appointed by Carter""",شخصی که دبیر وزارت انرژی را بر عهده دارد ؛,0,,,,,,
87370,noun,"the person who holds the secretaryship of the Department of Health and Human Services; ""the first Secretary of Health and Human Services was Patricia Roberts Harris who was appointed by Carter""",شخصی که دبیر دپارتمان بهداشت و خدمات انسانی را در اختیار دارد.,0,,,,,,
87371,noun,"the person who holds the secretaryship of the Department of Housing and Urban Development; ""the first Secretary of Housing and Urban Development was Robert C. Weaver who was appointed by Johnson""",شخصی که دبیر گروه مسکن و شهرسازی را در اختیار دارد ؛,0,,,,,,
87372,noun,"the person who holds the secretaryship of the Department of Labor; ""the first Labor Secretary was William B. Wilson who was appointed by President Wilson""",شخصی که دبیرخانه وزارت کار را در اختیار دارد.,0,,,,,,
87373,noun,"the person who holds the secretaryship of the Department of State; ""the first Secretary of State was Thomas Jefferson""",شخصی که دبیر وزارت امور خارجه را در اختیار دارد.,0,,,,,,
87374,noun,"the person who holds the secretaryship of the Interior Department; ""President Taylor appointed Thomas Ewing as the first Secretary of the Interior""",شخصی که دبیر وزارت کشور را در اختیار دارد.,0,,,,,,
87375,noun,"the person who holds the secretaryship of the Treasury Department; ""Alexander Hamilton was the first Secretary of the Treasury""",شخصی که منشی وزارت خزانه داری را در اختیار دارد.,0,,,,,,
87376,noun,"the person who holds the secretaryship of the Department of Transportation; ""Johnson appointed Alan S. Boyd as the first Transportation Secretary""",شخصی که دبیر گروه حمل و نقل را بر عهده دارد ؛,0,,,,,,
87377,noun,"the person who holds the secretaryship of the Department of Veterans Affairs; ""Bush appointed Edward J. Derwinski as the first Secretary of Veterans Affairs""",شخصی که دبیر اداره امور ایثارگران را بر عهده دارد ؛,0,,,,,,
87378,noun,a secretary immediately subordinate to the head of a department of government,شخصی که دبیر گروه حمل و نقل را بر عهده دارد ؛,0,,,,,,
87379,noun,a secretary having administrative duties and responsibilities,دبیر دارای وظایف و مسئولیت های اداری,0,,,,,,
87380,noun,a personal secretary who handles your social correspondence and appointments,یک منشی شخصی که مکاتبات و قرارهای اجتماعی شما را انجام می دهد,0,,,,,,
87381,noun,shiny substance that resemble enamel and is secreted by the corium of certain fishes (especially ganoid fishes) and composes the outer layer of their scales,ماده ای براق که شبیه مینای دندان است و توسط کوریوم برخی از ماهی ها ترشح می شود (به خصوص ماهی های گانوئید) و لایه خارجی فلس های آنها را تشکیل می دهد,0,,,,,,
87382,noun,saline fluid secreted by lacrimal glands; lubricates the surface of the eyeball,مایعات نمکی ترشح شده توسط غدد اشکی.,0,,,,,,
87383,noun,secretions by glands lining the walls of the intestines,ترشحات غدد پوشاننده دیواره روده,0,,,,,,
87384,noun,any physiologically active internal secretion especially one of uncertain classification,هر نوع ترشح داخلی از نظر فیزیولوژیکی فعال به ویژه یکی از طبقه بندی های نامشخص,0,,,,,,
87385,noun,viscid lubricating fluid secreted by the membrane lining joints and tendon sheaths etc.,مایع روان کننده چسبناک ترشح شده توسط مفاصل پوشش غشا و غلاف تاندون و غیره,0,,,,,,
87386,noun,the oily secretion of the sebaceous glands; with perspiration it moistens and protects the skin,ترشح روغنی غدد چربی.,0,,,,,,
87387,noun,a secretion of the pharyngeal glands of bees that is fed to very young larvae and to bees destined to be queens,ترشحی از غدد حلقی زنبورهای عسل که به لاروهای بسیار جوان و به زنبورهایی که ملکه هستند تغذیه می شود,0,,,,,,
87388,noun,a chemical substance secreted externally by some animals (especially insects) that influences the physiology or behavior of other animals of the same species,ترشح روغنی غدد چربی.,0,,,,,,
87389,noun,a religious society of women who live together as sisters (especially an order of nuns),یک جامعه مذهبی از زنانی که به عنوان خواهر با هم زندگی می کنند (به خصوص یک سفارش از راهبه ها),0,,,,,,
87390,noun,a Christian religious sect in southern France in the 12th and 13th centuries; believers in Albigensianism,یک فرقه مذهبی مسیحی در جنوب فرانسه در قرون 12 و 13؛,0,,,,,,
87391,noun,an orthodox Anabaptist sect separated from the Mennonites in late 17th century; settled chiefly in southeastern Pennsylvania,یک فرقه ارتدکس آناباپتیست در اواخر قرن هفدهم از منونی ها جدا شد.,0,,,,,,
87392,noun,a Jewish sect that recognizes only the Hebrew Scriptures as the source of divinely inspired legislation and denies the authority of the postbiblical tradition of the Talmud; the sect arose in Iraq in the eighth century,فرقه ای یهودی که فقط کتاب مقدس عبری را به عنوان منبع قانون الهام گرفته از جانب الهی به رسمیت می شناسد و اقتدار سنت بعد از کتاب مقدس تلمود را انکار می کند.,0,,,,,,
87393,noun,a Hindu sect worshiping Shiva,یک فرقه هندو شیوا را پرستش می کند,0,,,,,,
87394,noun,a Hindu sect worshiping Shakti,یک فرقه هندو پرستش شاکتی,0,,,,,,
87395,noun,Hindu sect worshiping of Vishnu,پرستش فرقه هندو از ویشنو,0,,,,,,
87396,noun,any of several sects of Orthodox Judaism that reject modern secular culture and many of whom do not recognize the spiritual authority of the modern state of Israel,هر یک از چندین فرقه یهودیت ارتدکس که فرهنگ سکولار مدرن را رد می کنند و بسیاری از آنها اقتدار معنوی کشور مدرن اسرائیل را به رسمیت نمی شناسند,0,,,,,,
87397,noun,a religious sect founded in the United States in 1966; based on Vedic scriptures; groups engage in joyful chanting of `Hare Krishna' and other mantras based on the name of the Hindu god Krishna; devotees usually wear saffron robes and practice vegetarianism and celibacy,یک فرقه مذهبی در سال 1966 در ایالات متحده تأسیس شد.,0,,,,,,
87398,noun,sect founded in the 6th century BC as a revolt against Hinduism,فرقه ای در قرن 6 قبل از میلاد به عنوان شورشی علیه هندو بنیان گذاری شد,0,,,,,,
87399,noun,a Chinese sect claiming to follow the teaching of Lao-tzu but incorporating pantheism and sorcery in addition to Taoism,یک فرقه چینی ادعا می کند که از آموزش لائوتسه پیروی می کند اما علاوه بر تائوئیسم ، خداباور و جادوگری را نیز در بر می گیرد,0,,,,,,
87400,noun,the branch of Shinto recognized as the official state religion of Japan,شاخه شینتو به عنوان دین رسمی کشور ژاپن شناخته شده است,0,,,,,,
